,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
11,500,524.0,588,0.3926333999988856,"[17, 28, 7, 29, 2, 21, 12, 26, 0, 18, 3, 5, 11, 27, 24, 0, 15, 19, 31, 16, 24, 1, 25, 30, 10, 14, 4, 23, 9, 13, 18, 32, 22]",arithmetic,0.1,0.0001,0.001,0.09996073666000012,0.1,500,
12,0,489.0,0,0.0010414999997010455,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",geometric,0.5,0.99,0.001,0.49999476631499745,0.5,500,
13,500,522.0,593,0.41537590000007185,"[10, 28, 32, 9, 20, 13, 27, 4, 31, 12, 3, 5, 11, 22, 16, 29, 12, 2, 31, 23, 25, 19, 0, 30, 17, 1, 6, 28, 15, 2, 18, 26, 4]",geometric,0.5,0.99,0.001,0.49791701725490894,0.5,500,
14,0,489.0,0,0.0009563000021444168,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",exponential,0.5,,0.001,0.4999976092557103,0.5,500,0.005
15,500,522.0,594,0.392821700002969,"[17, 29, 8, 25, 18, 15, 5, 28, 0, 12, 11, 16, 12, 32, 23, 0, 9, 20, 31, 23, 3, 19, 24, 30, 10, 13, 7, 14, 22, 2, 21, 26, 4]",exponential,0.5,,0.001,0.49901890954943706,0.5,500,0.005
16,0,489.0,0,0.0009755999999470077,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",arithmetic,0.5,0.0001,0.001,0.49999990244000003,0.5,500,
17,500,515.0,634,0.45350780000080704,"[11, 20, 26, 30, 27, 14, 18, 23, 0, 13, 6, 31, 3, 1, 18, 25, 28, 17, 9, 4, 2, 8, 25, 12, 19, 26, 32, 16, 8, 21, 29, 31, 22]",arithmetic,0.5,0.0001,0.001,0.49995464921999994,0.5,500,
18,0,489.0,0,0.0009542999978293665,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",geometric,1.0,0.99,0.001,0.9999904090105106,1,500,
19,500,520.0,621,0.45027249999839114,"[22, 29, 6, 2, 30, 21, 23, 18, 13, 1, 3, 31, 24, 20, 27, 0, 32, 0, 5, 25, 17, 19, 25, 4, 14, 7, 10, 23, 28, 5, 19, 26, 11]",geometric,1.0,0.99,0.001,0.9954848342975039,1,500,
20,0,489.0,0,0.0009999000030802563,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",exponential,1.0,,0.001,0.999995000512482,1,500,0.005
21,500,522.0,631,0.42380340000090655,"[2, 20, 28, 8, 16, 8, 26, 24, 14, 17, 25, 27, 3, 1, 14, 1, 30, 7, 29, 18, 5, 15, 19, 6, 31, 17, 13, 23, 9, 11, 0, 32, 12]",exponential,1.0,,0.001,0.997883226531545,1,500,0.005
22,0,489.0,0,0.001917700003104983,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",arithmetic,1.0,0.0001,0.001,0.9999998082299997,1,500,
