,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
35,500,519.0,2654,3.346314899999925,"[14, 8, 3, 27, 0, 32, 26, 29, 12, 7, 13, 20, 9, 21, 31, 25, 11, 1, 1, 7, 5, 2, 4, 28, 13, 10, 16, 23, 19, 31, 22, 18, 6]",50,500,6
36,0,500.0,2654,3.38654299999871,"[27, 29, 7, 31, 8, 30, 14, 22, 0, 26, 11, 13, 5, 26, 15, 2, 27, 6, 6, 20, 28, 24, 32, 20, 1, 14, 19, 26, 12, 8, 1, 7, 25]",50,500,7
37,500,519.0,2844,3.736786299999949,"[27, 29, 14, 31, 8, 0, 30, 13, 0, 9, 11, 18, 32, 22, 10, 2, 16, 6, 8, 17, 28, 23, 32, 20, 1, 3, 19, 26, 12, 4, 1, 7, 25]",50,500,7
38,0,484.0,2844,3.7811112999988836,"[14, 1, 25, 27, 7, 32, 1, 22, 17, 19, 0, 24, 1, 14, 2, 19, 31, 6, 9, 20, 13, 19, 13, 27, 11, 20, 27, 20, 24, 9, 25, 22, 20]",50,500,8
39,500,520.0,3295,4.684414299999844,"[18, 23, 10, 27, 7, 32, 8, 22, 17, 19, 0, 31, 3, 14, 2, 21, 15, 6, 30, 0, 13, 19, 1, 27, 11, 7, 28, 12, 24, 9, 25, 15, 5]",50,500,8
40,0,489.0,3295,4.7305395000003045,"[28, 23, 12, 7, 17, 11, 1, 10, 9, 1, 16, 11, 11, 21, 26, 10, 15, 27, 24, 24, 15, 15, 0, 26, 2, 31, 0, 14, 2, 27, 17, 2, 16]",50,500,9
41,500,523.0,3676,5.560452199999418,"[20, 23, 12, 7, 25, 22, 31, 4, 9, 17, 13, 11, 3, 19, 26, 1, 5, 32, 29, 24, 8, 15, 0, 32, 21, 10, 18, 14, 2, 27, 30, 2, 16]",50,500,9
42,0,502.0,3676,5.6050808999989385,"[25, 31, 18, 13, 20, 9, 32, 8, 18, 27, 1, 20, 23, 24, 26, 8, 0, 27, 17, 0, 7, 23, 1, 30, 16, 23, 11, 15, 22, 2, 30, 8, 9]",50,500,10
43,500,522.0,4030,6.40889099999913,"[25, 31, 8, 6, 20, 3, 32, 29, 18, 13, 1, 6, 2, 21, 19, 32, 12, 26, 17, 0, 7, 23, 1, 30, 16, 14, 11, 15, 22, 2, 30, 17, 9]",50,500,10
44,0,493.0,4030,6.45504069999879,"[14, 9, 13, 5, 8, 3, 4, 16, 29, 30, 28, 13, 20, 14, 17, 4, 27, 2, 5, 2, 24, 11, 30, 1, 19, 18, 8, 11, 20, 13, 9, 21, 1]",50,500,11
45,500,515.0,4266,7.019954299999881,"[15, 9, 32, 5, 8, 3, 26, 16, 29, 30, 28, 7, 20, 14, 17, 4, 26, 12, 6, 2, 24, 0, 29, 1, 16, 18, 31, 11, 22, 6, 23, 21, 13]",50,500,11
46,0,498.0,4266,7.069565199999488,"[26, 32, 14, 8, 21, 15, 26, 26, 14, 6, 9, 25, 17, 26, 15, 2, 30, 6, 29, 9, 31, 14, 22, 4, 28, 32, 3, 12, 21, 24, 17, 16, 2]",50,500,12
47,500,521.0,4689,8.127966500000184,"[18, 29, 14, 5, 27, 15, 26, 10, 4, 1, 9, 25, 17, 1, 11, 13, 30, 6, 27, 19, 31, 20, 22, 4, 28, 32, 0, 3, 21, 24, 12, 16, 2]",50,500,12
48,0,496.0,4689,8.177473499999905,"[17, 3, 17, 30, 18, 12, 22, 29, 7, 10, 7, 15, 2, 25, 2, 0, 31, 3, 6, 5, 9, 32, 0, 25, 31, 3, 28, 5, 18, 27, 28, 14, 11]",50,500,13
49,500,522.0,5071,9.23949729999913,"[17, 1, 25, 30, 7, 11, 22, 29, 4, 10, 24, 15, 2, 26, 19, 0, 31, 3, 13, 6, 9, 32, 15, 21, 31, 16, 28, 5, 18, 27, 22, 14, 8]",50,500,13
50,0,501.0,5071,9.29328969999915,"[21, 32, 27, 3, 14, 12, 8, 5, 31, 20, 15, 8, 23, 18, 22, 27, 16, 6, 8, 19, 2, 23, 2, 22, 1, 15, 6, 21, 32, 12, 28, 4, 31]",50,500,14
51,500,519.0,5423,10.318138900000122,"[21, 7, 27, 16, 14, 12, 8, 5, 31, 24, 1, 29, 23, 18, 22, 27, 0, 10, 8, 19, 2, 9, 25, 22, 1, 26, 6, 21, 32, 12, 28, 4, 24]",50,500,14
52,0,500.0,5423,10.37388639999881,"[10, 11, 16, 25, 20, 6, 23, 25, 19, 7, 5, 14, 14, 13, 20, 28, 32, 15, 25, 11, 17, 20, 4, 31, 1, 28, 25, 8, 19, 4, 18, 15, 24]",50,500,15
53,500,523.0,5894,11.815232699998887,"[4, 32, 16, 9, 20, 6, 23, 0, 13, 7, 5, 29, 24, 2, 21, 30, 25, 27, 8, 11, 17, 7, 1, 31, 1, 28, 25, 12, 19, 29, 18, 15, 10]",50,500,15
54,0,496.0,5894,11.871789400000125,"[20, 17, 18, 1, 4, 2, 24, 17, 10, 14, 29, 19, 16, 20, 10, 18, 7, 28, 30, 32, 27, 6, 12, 16, 25, 25, 20, 28, 23, 4, 12, 25, 1]",50,500,16
55,500,524.0,6286,13.182999599999675,"[20, 17, 24, 1, 4, 31, 11, 0, 7, 22, 29, 19, 16, 27, 10, 18, 25, 28, 30, 26, 9, 6, 8, 2, 25, 13, 32, 5, 23, 23, 12, 3, 15]",50,500,16
56,0,489.0,6286,13.242635200000223,"[28, 29, 10, 7, 28, 32, 23, 0, 12, 2, 20, 0, 17, 10, 16, 21, 13, 32, 32, 12, 13, 3, 29, 3, 11, 29, 31, 14, 19, 2, 1, 6, 21]",50,500,17
57,500,518.0,6541,14.096273299999666,"[28, 14, 2, 7, 17, 22, 8, 5, 0, 24, 20, 31, 7, 25, 30, 21, 13, 9, 32, 12, 16, 3, 29, 22, 11, 26, 31, 12, 19, 23, 1, 6, 9]",50,500,17
58,0,492.0,6541,14.155657299999802,"[17, 18, 24, 12, 27, 15, 12, 8, 5, 9, 24, 26, 30, 32, 15, 29, 13, 25, 23, 16, 25, 18, 29, 9, 14, 24, 15, 1, 6, 14, 7, 15, 17]",50,500,18
59,500,523.0,7038,15.90110040000036,"[17, 5, 28, 12, 27, 15, 6, 8, 19, 30, 4, 26, 28, 32, 21, 29, 13, 25, 23, 32, 16, 0, 3, 9, 14, 24, 24, 1, 31, 18, 22, 15, 2]",50,500,18
60,0,489.0,7038,15.963052400000379,"[2, 1, 14, 11, 16, 6, 6, 3, 24, 1, 0, 1, 3, 30, 32, 15, 12, 16, 21, 20, 31, 19, 23, 1, 21, 19, 28, 20, 30, 24, 22, 9, 28]",50,500,19
