,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
313,48,14.733302200000026,505.0,2501.0,True,50,0.8,200
314,49,15.032329000000004,505.0,2552.0,True,50,0.8,200
315,50,15.333203000000026,505.0,2603.0,True,50,0.8,200
316,51,15.632793900000024,505.0,2654.0,True,50,0.8,200
317,52,15.931175800000005,505.0,2705.0,True,50,0.8,200
318,53,16.230502699999988,505.0,2756.0,True,50,0.8,200
319,54,16.530504699999995,505.0,2807.0,True,50,0.8,200
320,55,16.829985399999998,505.0,2858.0,True,50,0.8,200
321,56,17.130113800000004,505.0,2909.0,True,50,0.8,200
322,57,17.429813500000023,505.0,2960.0,True,50,0.8,200
323,58,17.732058600000016,505.0,3011.0,True,50,0.8,200
324,59,18.03192919999998,505.0,3062.0,True,50,0.8,200
325,60,18.33371790000001,505.0,3113.0,True,50,0.8,200
326,61,18.6357261,505.0,3164.0,True,50,0.8,200
327,62,18.944338000000016,505.0,3215.0,True,50,0.8,200
328,63,19.25430019999999,505.0,3266.0,True,50,0.8,200
329,64,19.55778220000002,505.0,3317.0,True,50,0.8,200
330,65,19.864041299999997,505.0,3368.0,True,50,0.8,200
331,66,20.176930400000003,505.0,3419.0,True,50,0.8,200
332,67,20.480454399999985,505.0,3470.0,True,50,0.8,200
333,68,20.786877600000025,505.0,3521.0,True,50,0.8,200
334,69,21.099986399999977,505.0,3572.0,True,50,0.8,200
335,70,21.408683699999983,505.0,3623.0,True,50,0.8,200
336,71,21.71415350000001,505.0,3674.0,True,50,0.8,200
337,72,22.016166399999975,505.0,3725.0,True,50,0.8,200
338,73,22.31899900000002,505.0,3776.0,True,50,0.8,200
339,74,22.619441300000005,505.0,3827.0,True,50,0.8,200
340,75,22.918214200000023,505.0,3878.0,True,50,0.8,200
341,76,23.224979099999985,505.0,3929.0,True,50,0.8,200
342,77,23.530442499999992,505.0,3980.0,True,50,0.8,200
343,78,23.830725400000006,505.0,4031.0,True,50,0.8,200
344,79,24.1316109,505.0,4082.0,True,50,0.8,200
345,80,24.431973099999993,505.0,4133.0,True,50,0.8,200
346,81,24.73159320000002,505.0,4184.0,True,50,0.8,200
347,82,25.044494799999995,505.0,4235.0,True,50,0.8,200
348,83,25.346452499999998,505.0,4286.0,True,50,0.8,200
349,84,25.64630840000001,505.0,4337.0,True,50,0.8,200
350,85,25.9464878,505.0,4388.0,True,50,0.8,200
351,86,26.246777899999984,505.0,4439.0,True,50,0.8,200
352,87,26.54714580000001,505.0,4490.0,True,50,0.8,200
353,88,26.85581780000001,505.0,4541.0,True,50,0.8,200
354,89,27.156666200000018,505.0,4592.0,True,50,0.8,200
355,90,27.465330300000005,505.0,4643.0,True,50,0.8,200
356,91,27.776498800000013,505.0,4694.0,True,50,0.8,200
357,92,28.089536199999998,505.0,4745.0,True,50,0.8,200
358,93,28.403224599999987,505.0,4796.0,True,50,0.8,200
359,94,28.712856199999976,505.0,4847.0,True,50,0.8,200
360,95,29.02263579999999,505.0,4898.0,True,50,0.8,200
361,96,29.334352799999976,505.0,4949.0,True,50,0.8,200
362,97,29.6471176,505.0,5000.0,True,50,0.8,200
363,98,29.95918419999998,505.0,5051.0,True,50,0.8,200
364,99,30.26590970000001,505.0,5102.0,True,50,0.8,200
365,100,30.57450560000001,505.0,5153.0,True,50,0.8,200
366,101,30.875616700000023,505.0,5204.0,True,50,0.8,200
367,102,0.023711999999989075,505.0,5255.0,True,50,0.8,200
368,103,0.29638610000000654,505.0,5306.0,True,50,0.8,200
369,104,0.5708210000000236,505.0,5357.0,True,50,0.8,200
370,0,0.024818400000015117,489.0,100.0,True,100,0.1,200
371,1,0.2774008999999751,505.0,202.0,True,100,0.1,200
372,2,0.5164436000000023,505.0,303.0,True,100,0.1,200
373,3,0.815438400000005,505.0,404.0,True,100,0.1,200
374,4,1.118552799999975,505.0,505.0,True,100,0.1,200
375,5,1.4283224999999788,505.0,606.0,True,100,0.1,200
376,6,1.7405145000000175,505.0,707.0,True,100,0.1,200
377,7,2.0568413000000305,505.0,808.0,True,100,0.1,200
378,8,2.372755400000017,505.0,909.0,True,100,0.1,200
379,9,2.6871868000000063,505.0,1010.0,True,100,0.1,200
380,10,3.0010434000000146,505.0,1111.0,True,100,0.1,200
381,11,3.312162600000022,505.0,1212.0,True,100,0.1,200
382,12,3.620603899999992,505.0,1313.0,True,100,0.1,200
383,13,3.92541540000002,505.0,1414.0,True,100,0.1,200
384,14,4.22859729999999,505.0,1515.0,True,100,0.1,200
385,15,4.532688399999984,505.0,1616.0,True,100,0.1,200
386,16,4.837232299999982,505.0,1717.0,True,100,0.1,200
387,17,5.138787900000011,505.0,1818.0,True,100,0.1,200
388,18,5.441929099999982,505.0,1919.0,True,100,0.1,200
389,19,5.743687899999998,505.0,2020.0,True,100,0.1,200
390,20,6.044288900000026,505.0,2121.0,True,100,0.1,200
391,21,6.348792000000003,505.0,2222.0,True,100,0.1,200
392,22,6.6525131000000215,505.0,2323.0,True,100,0.1,200
393,23,6.95599500000003,505.0,2424.0,True,100,0.1,200
394,24,7.258268600000008,505.0,2525.0,True,100,0.1,200
395,25,7.570267399999977,505.0,2626.0,True,100,0.1,200
396,26,7.891043400000001,505.0,2727.0,True,100,0.1,200
397,27,8.204744300000016,505.0,2828.0,True,100,0.1,200
398,28,8.516372499999989,505.0,2929.0,True,100,0.1,200
399,29,8.830199100000016,505.0,3030.0,True,100,0.1,200
400,30,9.140926700000023,505.0,3131.0,True,100,0.1,200
401,31,9.44408450000003,505.0,3232.0,True,100,0.1,200
402,32,9.756087499999978,505.0,3333.0,True,100,0.1,200
403,33,10.068403999999987,505.0,3434.0,True,100,0.1,200
404,34,10.382993399999975,505.0,3535.0,True,100,0.1,200
405,35,10.700056500000017,505.0,3636.0,True,100,0.1,200
406,36,11.015081199999997,505.0,3737.0,True,100,0.1,200
407,37,11.326199099999997,505.0,3838.0,True,100,0.1,200
408,38,11.638884700000006,505.0,3939.0,True,100,0.1,200
409,39,11.95195910000001,505.0,4040.0,True,100,0.1,200
410,40,12.266425099999992,505.0,4141.0,True,100,0.1,200
411,41,12.575243100000023,505.0,4242.0,True,100,0.1,200
412,42,12.88848250000001,505.0,4343.0,True,100,0.1,200
413,43,13.199512599999991,505.0,4444.0,True,100,0.1,200
414,44,13.50727599999999,505.0,4545.0,True,100,0.1,200
415,45,13.81144039999998,505.0,4646.0,True,100,0.1,200
416,46,14.120800000000031,505.0,4747.0,True,100,0.1,200
417,47,14.42836520000003,505.0,4848.0,True,100,0.1,200
418,48,14.733302200000026,505.0,4949.0,True,100,0.1,200
419,49,15.032329000000004,505.0,5050.0,True,100,0.1,200
420,50,15.333203000000026,505.0,5151.0,True,100,0.1,200
421,51,15.632793900000024,505.0,5252.0,True,100,0.1,200
422,52,15.931175800000005,505.0,5353.0,True,100,0.1,200
423,53,16.230502699999988,505.0,5454.0,True,100,0.1,200
424,54,16.530504699999995,505.0,5555.0,True,100,0.1,200
425,55,16.829985399999998,505.0,5656.0,True,100,0.1,200
426,56,17.130113800000004,505.0,5757.0,True,100,0.1,200
427,57,17.429813500000023,505.0,5858.0,True,100,0.1,200
428,58,17.732058600000016,505.0,5959.0,True,100,0.1,200
429,59,18.03192919999998,505.0,6060.0,True,100,0.1,200
430,60,18.33371790000001,505.0,6161.0,True,100,0.1,200
431,61,18.6357261,505.0,6262.0,True,100,0.1,200
432,62,18.944338000000016,505.0,6363.0,True,100,0.1,200
433,63,19.25430019999999,505.0,6464.0,True,100,0.1,200
434,64,19.55778220000002,505.0,6565.0,True,100,0.1,200
435,65,19.864041299999997,505.0,6666.0,True,100,0.1,200
436,66,20.176930400000003,505.0,6767.0,True,100,0.1,200
437,67,20.480454399999985,505.0,6868.0,True,100,0.1,200
438,68,20.786877600000025,505.0,6969.0,True,100,0.1,200
439,69,21.099986399999977,505.0,7070.0,True,100,0.1,200
440,70,21.408683699999983,505.0,7171.0,True,100,0.1,200
441,71,21.71415350000001,505.0,7272.0,True,100,0.1,200
442,72,22.016166399999975,505.0,7373.0,True,100,0.1,200
443,73,22.31899900000002,505.0,7474.0,True,100,0.1,200
